sample_num,ir
0,252541
1,252572
2,252637
3,252670
4,252730
5,252784
6,252857
7,252933
8,252979
9,253003
10,253034
11,253067
12,253088
13,253069
14,253046
15,252889
16,252692
17,252490
18,252325
19,252132
20,252024
21,251899
22,251795
23,251754
24,251731
25,251720
26,251708
27,251749
28,251813
29,251862
30,251947
31,252015
32,252093
33,252170
34,252305
35,252424
36,252565
37,252701
38,252828
39,252978
40,253104
41,253236
42,253346
43,253424
44,253451
45,253435
46,253400
47,253333
48,253254
49,253183
50,253128
51,253090
52,253085
53,253063
54,253070
55,253122
56,253140
57,253209
58,253265
59,253308
60,253352
61,253365
62,253402
63,253407
64,253464
65,253439
66,253488
67,253489
68,253539
69,253580
70,253600
71,253621
72,253685
73,253682
74,253748
75,253738
76,253757
77,253762
78,253785
79,253747
80,253751
81,253684
82,253559
83,253267
84,253019
85,252849
86,252649
87,252483
88,252355
89,252237
90,252164
91,252087
92,252071
93,252064
94,252108
95,252085
96,252108
97,252087
98,252194
99,252178
100,252258
101,252281
102,252351
103,252385
104,252422
105,252465
106,252569
107,252615
108,252700
109,252707
110,252768
111,252764
112,252793
113,252766
114,252738
115,252697
116,252678
117,252627
118,252600
119,252561
120,252569
121,252540
122,252605
123,252607
124,252614
125,252651
126,252694
127,252720
128,252768
129,252792
130,252824
131,252890
132,252928
133,252943
134,252997
135,253039
136,253065
137,253093
138,253141
139,253178
140,253224
141,253253
142,253303
143,253319
144,253391
145,253427
146,253484
147,253510
148,253545
149,253525
150,253432
151,253223
152,253048
153,252840
154,252697
155,252525
156,252399
157,252259
158,252183
159,252108
160,252071
161,252054
162,252075
163,252076
164,252107
165,252129
166,252190
167,252209
168,252246
169,252288
170,252340
171,252390
172,252436
173,252443
174,252523
175,252565
176,252617
177,252670
178,252693
179,252684
180,252715
181,252698
182,252676
183,252649
184,252629
185,252600
186,252597
187,252580
188,252590
189,252597
190,252612
191,252602
192,252630
193,252637
194,252664
195,252666
196,252707
197,252755
198,252783
199,252799
200,252845
201,252872
202,252894
203,252946
204,252983
205,253045
206,253095
207,253117
208,253152
209,253198
210,253224
211,253241
212,253300
213,253311
214,253357
215,253373
216,253427
217,253444
218,253494
219,253467
220,253430
221,253242
222,253084
223,252859
224,252672
225,252508
226,252371
227,252234
228,252109
229,252035
230,251993
231,251960
232,251956
233,251994
234,252027
235,252042
236,252101
237,252133
238,252185
239,252248
240,252282
241,252349
242,252399
243,252458
244,252520
245,252584
246,252680
247,252713
248,252766
249,252818
250,252831
251,252806
252,252810
253,252804
254,252792
255,252765
256,252737
257,252761
258,252771
259,252748
260,252782
261,252808
262,252835
263,252841
264,252891
265,252928
266,252958
267,252999
268,253065
269,253100
270,253142
271,253217
272,253261
273,253277
274,253330
275,253393
276,253424
277,253485
278,253508
279,253559
280,253602
281,253629
282,253680
283,253704
284,253738
285,253765
286,253763
287,253776
288,253820
289,253841
290,253874
291,253914
292,253950
293,253946
294,253929
295,253824
296,253646
297,253430
298,253261
299,253068
300,252887
301,252738
302,252597
303,252518
304,252450
305,252399
306,252367
307,252387
308,252397
309,252439
310,252490
311,252525
312,252582
313,252628
314,252699
315,252734
316,252756
317,252855
318,252897
319,252945
320,253010
321,253070
322,253094
323,253143
324,253175
325,253193
326,253175
327,253151
328,253175
329,253102
330,253144
331,253070
332,253076
333,253089
334,253122
335,253111
336,253156
337,253188
338,253255
339,253237
340,253318
341,253349
342,253418
343,253442
344,253492
345,253541
346,253600
347,253639
348,253696
349,253748
350,253826
351,253851
352,253896
353,253923
354,254001
355,254022
356,254054
357,254081
